OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41644,2017,CA,CDF,LNU,CANYON,00007678,2017/08/11 00:00:00+00,2017/10/12 00:00:00+00,14,,140,114.11681366,2,1,,755120.623483585,4164.53754663599
41645,2017,CA,CDF,LNU,QUAIL,00007767,2017/08/13 00:00:00+00,2017/10/13 00:00:00+00,14,,11,9.76709843,2,1,,64612.37058765,998.792627403181
41646,2017,CA,CDF,LNU,TIMM,00009783,2017/10/02 00:00:00+00,2017/10/03 00:00:00+00,14,,40,125.79180908,2,1,,831300.45601245,5465.7325032069
41647,2017,CA,CDF,LNU,WINTER,00006262,2017/07/06 00:00:00+00,2017/07/12 00:00:00+00,14,,1700,2366.23486328,2,1,,15669888.6877809,20397.5934236998
41648,2017,CA,CDF,LNU,BODEGA,00008288,2017/08/27 00:00:00+00,2017/08/28 00:00:00+00,14,,18,17.76833916,1,1,,116801.52965779,2154.51645629441
41649,2017,CA,CDF,LNU,ESTATE,00009420,2017/09/23 00:00:00+00,2017/09/23 00:00:00+00,2,6 houses burned,55,42.80334091,1,1,,282833.3236174,4744.26333784083
41650,2017,CA,CDF,LNU,FORT,00009994,2017/10/07 00:00:00+00,2017/10/08 00:00:00+00,14,,18,18.28064919,1,1,,121064.780094665,1797.1539823001
41651,2017,CA,CDF,LNU,REDWOOD,00009324,2017/09/20 00:00:00+00,2017/09/21 00:00:00+00,14,,15,14.02686214,2,1,,92373.861019965,1349.46434405305
41652,2017,CA,CDF,LNU,MULE,00009729,2017/09/05 00:00:00+00,2017/09/06 00:00:00+00,14,,60,21.26687431,2,1,,142796.992350125,1567.1388749134
41653,2017,CA,CDF,LNU,SPRINGS,00008536,2017/09/01 00:00:00+00,2017/09/02 00:00:00+00,14,,13,13.12532139,2,1,,87518.905914795,1287.54589790244
41654,2017,CA,CDF,LNU,RIDGE,00009953,2017/10/06 00:00:00+00,2017/10/08 00:00:00+00,14,,90,54.95659256,2,1,,370690.19960972,2548.37245733295
41655,2017,CA,CDF,LNU,SPRING,00008425,2017/08/30 00:00:00+00,2017/08/30 00:00:00+00,14,,12,11.88885689,1,1,,78075.04149944,1358.79868454229
41657,2017,CA,CDF,LNU,PRESSLEY,00010049,2017/10/08 00:00:00+00,2017/10/31 00:00:00+00,14,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",791.88,791.88812256,7,1,,5220479.78834787,22361.2362876203
41658,2017,CA,CDF,LNU,37,00010393,2017/10/08 00:00:00+00,2017/10/17 00:00:00+00,14,Marin Co. Fire Assist,1657,1657.36938477,1,1,,10864018.6527084,28565.8951650165
41659,2017,CA,CDF,LNU,YOUNG,00010104,2017/10/08 00:00:00+00,2017/10/25 00:00:00+00,14,,,106.00540924,3,1,,703953.574080175,8139.13200455693
41663,2017,CA,CDF,LNU,SULPHER,00010055,2017/10/09 00:00:00+00,2017/10/25 00:00:00+00,14,Mendocino Lake Complex,2206,2206.23022461,3,1,,14801308.0971473,34296.056192617
41664,2017,CA,CDF,LNU,CLOVER,00009421,2017/09/23 00:00:00+00,2017/09/24 00:00:00+00,14,,14,13.89886475,1,1,,92187.8988305,1796.92850351661
41665,2017,CA,CDF,LNU,ROCKVILLE,00008152,2017/08/23 00:00:00+00,2017/08/23 00:00:00+00,14,,23,23.23989105,1,1,,152731.80661962,2183.05689921757
41666,2017,CA,CDF,LMU,CENTERVILLE,00004009,2017/07/17 00:00:00+00,2017/07/20 00:00:00+00,14,,15.621,15.61061478,1,1,,112564.478022065,1582.99112547935
41667,2017,CA,CDF,LMU,PINE,00004312,2017/07/27 00:00:00+00,2017/07/31 00:00:00+00,1,,20,21.24125862,1,1,,153031.68467177,1967.52818534057
41668,2017,CA,CDF,LMU,JONES,00002955,2017/06/03 00:00:00+00,2017/06/04 00:00:00+00,7,,42,43.59671783,1,1,,313909.23060163,2668.98546106858
41669,2017,CA,CDF,LMU,JOESPH,00005195,2017/08/30 00:00:00+00,2017/09/05 00:00:00+00,1,,26.5,28.71928596,1,1,,208215.15286899,2153.29513984656
41670,2017,CA,CDF,LMU,3-20,00005560,2017/09/12 00:00:00+00,2017/09/23 00:00:00+00,1,,20,10.83090782,1,1,,77691.79218938,1227.22512198565
41671,2017,CA,CCO,LAC,ENCINAL,00125827,2017/04/29 00:00:00+00,2017/04/29 00:00:00+00,2,,2.5,2.52527642,7,1,,14933.86902966,750.120974588678
41672,2017,CA,CCO,LAC,PLACERITA,00187296,2017/06/25 00:00:00+00,2017/06/26 00:00:00+00,7,,,759.75836182,7,1,,4525545.78327973,18978.9736384561
41673,2017,CA,CCO,LAC,LAKE,00178275,2017/06/17 00:00:00+00,2017/06/17 00:00:00+00,14,,,733.26159668,7,1,,4385183.74297733,17739.3844126733
41674,2017,CA,CCO,LAC,STOKES,00191819,2017/06/29 00:00:00+00,2017/07/02 00:00:00+00,14,,40,42.10419464,7,1,,249150.192539905,2640.65544772676
41676,2017,CA,CCO,LAC,GAVINA,00143075,2017/05/15 00:00:00+00,2017/05/15 00:00:00+00,4,,,2.57412934,1,1,,15311.270565755,712.967430510597
41677,2017,CA,CCO,LAC,MULHOLLAND,00147096,2017/05/19 00:00:00+00,2017/05/19 00:00:00+00,14,,7,7.3735013,1,1,,43624.446252645,1365.05840632514
